,Brand Name,Smartphone Name,color,RAM,Storage/ROM,primary Camera,Secondary Camera,Display size,Display Resolution,Processor,Processor-core,Battery Capacity,Price,Product url
0,REDMI ,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",Midnight Black,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm0e1018dac2627?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEV2QOWQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBFV8RYKWQ3HACE.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
1,REDMI ,"REDMI 9i (Sea Blue, 64 GB)  (4 GB RAM)",Sea Blue,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itmfb30d06b478fc?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY94NDC4M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBFV8RYTHGA8BY9.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
2,realme ,"realme C21 (Cross Blue, 64 GB)  (4 GB RAM)",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,499",https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
3,realme ,"realme C21 (Cross Black, 64 GB)  (4 GB RAM)",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,499",https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
4,realme ,"realme C21 (Cross Black, 32 GB)  (3 GB RAM)",Cross Black,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
5,realme ,"realme C21 (Cross Blue, 32 GB)  (3 GB RAM)",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G35,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
6,realme ,"realme C25s (Watery Blue, 128 GB)  (4 GB RAM)",Watery Blue,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 11,499",https://www.flipkart.com/realme-c25s-watery-blue-128-gb/p/itm3546940d1cedb?pid=MOBG39HUJTFZJXJ8&lid=LSTMOBG39HUJTFZJXJ8CAQXYD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBG39HUJTFZJXJ8.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
7,realme ,"realme C25s (Watery Grey, 128 GB)  (4 GB RAM)",Watery Grey,4 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 11,499",https://www.flipkart.com/realme-c25s-watery-grey-128-gb/p/itm3546940d1cedb?pid=MOBG39HUYERMXR2C&lid=LSTMOBG39HUYERMXR2CMK160X&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBG39HUYERMXR2C.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
8,REDMI ,"REDMI 9i (Nature Green, 64 GB)  (4 GB RAM)",Nature Green,4 GB,64 GB,13MP Rear Camera,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,MediaTek Helio G25,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 8,499",https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7GEI6Y9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
9,REDMI ,"REDMI 9 Prime (Matte Black, 64 GB)  (4 GB RAM)",Matte Black,4 GB,64 GB,13MP + 8MP + 5MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,999",https://www.flipkart.com/redmi-9-prime-matte-black-64-gb/p/itmeeb1764ec0fcf?pid=MOBFUSCC57HCZGKG&lid=LSTMOBFUSCC57HCZGKGQ6TSNL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBFUSCC57HCZGKG.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
10,REDMI ,"REDMI 9 Prime (Space Blue, 64 GB)  (4 GB RAM)",Space Blue,4 GB,64 GB,13MP + 8MP + 5MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,MediaTek Helio G80,Octa Core,5000 mAh Lithium Polymer Battery,"Rs. 9,999",https://www.flipkart.com/redmi-9-prime-space-blue-64-gb/p/itme138a7bc1c7f5?pid=MOBFUT9M84NDDYQN&lid=LSTMOBFUT9M84NDDYQN9NHPW2&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBFUT9M84NDDYQN.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
11,realme ,"realme C20 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Lithium Polymer Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF4894MEWZJGV.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
12,realme ,"realme C20 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,MediaTek Helio G35,Android 10,2 GB,Dedicated Slot,"Handset, Adapter (5V/2A), USB Cable, SIM Card Tool, Quick Guide, Important Info booklet with Warranty Card",RMX3063 / RMX3061,1600 x 720 Pixels,HD+,5000 mAh Lithium Polymer Battery,"Rs. 7,499",https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=e14af5d3-e369-4200-988b-4aa0dbcbd656.MOBGF489SQZCFHYA.SEARCH&ppt=hp&ppn=homepage&ssid=kjcw8oiwao0000001630058428207&qH=1036ba3c4ed2c021
